No	Time	DC/AC	Value	Unit	AUTO
152	16:29:25	DC	01,96	mA	pass
153	16:29:26	DC	00,15	mA	pass
154	16:29:27	DC	00,15	mA	pass
155	16:29:27	DC	00,15	mA	pass
156	16:29:28	DC	00,15	mA	pass
157	16:29:28	DC	00,16	mA	pass
158	16:29:29	DC	01,18	mA	pass
159	16:29:29	DC	00,69	mA	pass
160	16:29:30	DC	00,15	mA	pass
161	16:29:31	DC	00,15	mA	pass
162	16:29:31	DC	00,15	mA	pass
163	16:29:32	DC	02,12	mA	pass
164	16:29:32	DC	00,15	mA	pass
165	16:29:33	DC	00,15	mA	pass
166	16:29:34	DC	00,16	mA	pass
167	16:29:34	DC	00,15	mA	pass
168	16:29:35	DC	00,15	mA	pass
169	16:29:35	DC	00,15	mA	pass
170	16:29:36	DC	00,15	mA	pass
171	16:29:36	DC	00,15	mA	pass
172	16:29:37	DC	07,64	mA	pass
173	16:29:37	DC	00,15	mA	pass
174	16:29:38	DC	00,15	mA	pass
175	16:29:39	DC	00,47	mA	pass
176	16:29:39	DC	00,15	mA	pass
177	16:29:40	DC	00,15	mA	pass
178	16:29:40	DC	00,15	mA	pass
179	16:29:41	DC	03,42	mA	pass
180	16:29:42	DC	00,16	mA	pass
181	16:29:42	DC	00,15	mA	pass
182	16:29:43	DC	00,15	mA	pass
183	16:29:43	DC	02,28	mA	pass
184	16:29:44	DC	00,15	mA	pass
185	16:29:45	DC	00,15	mA	pass
186	16:29:45	DC	00,15	mA	pass
187	16:29:46	DC	00,15	mA	pass
188	16:29:46	DC	00,15	mA	pass
189	16:29:47	DC	00,15	mA	pass
190	16:29:47	DC	00,15	mA	pass
191	16:29:48	DC	00,15	mA	pass
192	16:29:49	DC	00,12	mA	pass
193	16:29:49	DC	00,12	mA	pass
194	16:29:50	DC	00,12	mA	pass
195	16:29:50	DC	00,12	mA	pass
196	16:29:51	DC	00,12	mA	pass
197	16:29:52	DC	00,12	mA	pass
198	16:29:52	DC	00,12	mA	pass
199	16:29:53	DC	00,11	mA	pass
200	16:29:53	DC	00,13	mA	pass
201	16:29:54	DC	00,13	mA	pass
202	16:29:54	DC	00,11	mA	pass
203	16:29:55	DC	00,11	mA	pass
204	16:29:56	DC	00,12	mA	pass
205	16:29:56	DC	00,12	mA	pass
206	16:29:57	DC	00,12	mA	pass
207	16:29:57	DC	00,12	mA	pass
208	16:29:58	DC	00,12	mA	pass
209	16:29:58	DC	00,12	mA	pass
210	16:29:59	DC	00,12	mA	pass
211	16:30:00	DC	00,12	mA	pass
212	16:30:00	DC	00,12	mA	pass
213	16:30:01	DC	00,12	mA	pass
214	16:30:01	DC	00,11	mA	pass
215	16:30:02	DC	00,11	mA	pass
216	16:30:03	DC	00,12	mA	pass
217	16:30:03	DC	00,21	mA	pass
218	16:30:04	DC	00,11	mA	pass
219	16:30:04	DC	00,11	mA	pass
220	16:30:05	DC	00,12	mA	pass
221	16:30:05	DC	00,11	mA	pass
222	16:30:06	DC	00,12	mA	pass
223	16:30:07	DC	00,23	mA	pass
224	16:30:07	DC	00,12	mA	pass
225	16:30:08	DC	00,12	mA	pass
226	16:30:08	DC	00,11	mA	pass
227	16:30:09	DC	00,59	mA	pass
228	16:30:10	DC	00,13	mA	pass
229	16:30:10	DC	00,12	mA	pass
230	16:30:11	DC	00,12	mA	pass
231	16:30:11	DC	00,12	mA	pass
232	16:30:12	DC	00,12	mA	pass
233	16:30:13	DC	00,12	mA	pass
234	16:30:13	DC	00,12	mA	pass
235	16:30:14	DC	00,12	mA	pass
236	16:30:14	DC	00,12	mA	pass
237	16:30:15	DC	00,12	mA	pass
238	16:30:15	DC	00,59	mA	pass
239	16:30:16	DC	00,12	mA	pass
240	16:30:17	DC	00,12	mA	pass
241	16:30:17	DC	00,12	mA	pass
242	16:30:18	DC	00,12	mA	pass
243	16:30:18	DC	00,12	mA	pass
244	16:30:19	DC	00,12	mA	pass
245	16:30:20	DC	00,11	mA	pass
246	16:30:20	DC	00,11	mA	pass
247	16:30:21	DC	00,11	mA	pass
248	16:30:21	DC	00,11	mA	pass
249	16:30:22	DC	00,31	mA	pass
