,meas0,meas1,meas2,meas3,meas4,meas5,meas6,meas7,meas8
67,1168.0,1168.0,1008.0,1248.0,1328.0,1248.0,1168.0,1248.0,1248.0
68,1168.0,1168.0,1088.0,1168.0,1328.0,1168.0,1088.0,1248.0,1168.0
69,1248.0,1168.0,1008.0,1168.0,1408.0,1168.0,1168.0,1168.0,1248.0
70,1248.0,1248.0,1088.0,1168.0,1488.0,1168.0,1088.0,1168.0,1088.0
71,1168.0,1168.0,1088.0,1248.0,1664.0,1248.0,1008.0,1168.0,1008.0
72,1088.0,1248.0,1088.0,1328.0,1408.0,1248.0,1008.0,1664.0,1168.0
73,1248.0,1248.0,1168.0,1408.0,1248.0,1248.0,1008.0,2160.0,1248.0
74,1248.0,1328.0,1248.0,1248.0,1328.0,1248.0,912.0,2480.0,1248.0
75,1088.0,1328.0,1168.0,1088.0,1248.0,1248.0,912.0,2240.0,1248.0
76,1088.0,1248.0,1168.0,1168.0,1408.0,1328.0,1088.0,1488.0,1168.0
77,1008.0,1248.0,1168.0,1248.0,1328.0,1248.0,912.0,1328.0,1248.0
78,1088.0,1408.0,1088.0,1248.0,1328.0,1248.0,1088.0,1408.0,1248.0
79,1088.0,1408.0,1168.0,1248.0,1248.0,1248.0,912.0,1488.0,1168.0
80,1248.0,1408.0,1168.0,1168.0,1328.0,1248.0,1008.0,1488.0,1168.0
81,1088.0,1328.0,1088.0,1248.0,1328.0,1248.0,1088.0,1328.0,1168.0
82,1168.0,1168.0,1088.0,1248.0,1408.0,1248.0,1088.0,1248.0,1088.0
83,1008.0,1168.0,1168.0,1248.0,1248.0,1088.0,1008.0,1248.0,1088.0
84,1088.0,1168.0,1088.0,1328.0,1328.0,1168.0,1088.0,1328.0,1008.0
85,1008.0,1168.0,1088.0,1088.0,1328.0,1168.0,1168.0,1248.0,1168.0
86,1008.0,1248.0,1088.0,1248.0,1328.0,1248.0,1168.0,1248.0,1248.0
87,1008.0,1168.0,1088.0,1328.0,1328.0,1248.0,1168.0,1248.0,1168.0
88,1008.0,1168.0,1088.0,1248.0,1328.0,1248.0,1088.0,1248.0,1168.0
89,1008.0,1168.0,1008.0,1248.0,1328.0,1248.0,1088.0,1248.0,1328.0
90,1168.0,1328.0,912.0,1408.0,1248.0,1328.0,1088.0,1088.0,1248.0
91,1168.0,1248.0,1088.0,1328.0,1168.0,1328.0,1088.0,1168.0,1168.0
92,1248.0,1168.0,1248.0,1328.0,1248.0,1328.0,1168.0,1008.0,912.0
93,1088.0,1248.0,1248.0,1248.0,1408.0,1248.0,1088.0,1088.0,1168.0
94,1168.0,1328.0,1088.0,1408.0,1328.0,1328.0,1088.0,1248.0,1168.0
95,1088.0,1408.0,1008.0,1408.0,1408.0,1168.0,1088.0,1168.0,1168.0
96,1168.0,1328.0,1008.0,1488.0,1248.0,1248.0,1088.0,1168.0,1088.0
97,1744.0,1328.0,832.0,1248.0,1248.0,1248.0,1008.0,1088.0,1168.0
98,2240.0,1248.0,1008.0,1248.0,1248.0,1168.0,1008.0,1248.0,1328.0
99,2560.0,1328.0,1168.0,1168.0,1248.0,1168.0,1984.0,1088.0,912.0
100,2240.0,1168.0,1168.0,1248.0,1168.0,1008.0,2320.0,1248.0,1008.0
101,1488.0,1248.0,912.0,1088.0,1248.0,1088.0,2896.0,1248.0,1008.0
102,1168.0,1248.0,1168.0,1328.0,1248.0,1168.0,2064.0,1168.0,1088.0
103,1088.0,1168.0,1088.0,1408.0,1328.0,1088.0,1408.0,1248.0,1008.0
104,1008.0,1088.0,1248.0,1168.0,1248.0,1328.0,1328.0,1088.0,1168.0
105,1168.0,1168.0,1328.0,1088.0,1408.0,1328.0,1248.0,1248.0,1008.0
106,1088.0,1248.0,1408.0,1248.0,1328.0,1248.0,1088.0,1328.0,1168.0
